A,B
1,1
1,2
1,3
1,4
1,5
1,10
1,22
1,25
2,1
2,2
2,3
2,4
2,5
2,10
2,20
2,22
2,25
3,1
3,2
3,3
3,4
3,5
3,8
3,9
3,10
3,14
3,21
3,22
3,23
3,25
4,1
4,2
4,3
4,4
4,5
4,8
4,9
4,10
4,14
4,21
4,22
4,23
4,25
5,1
5,2
5,3
5,4
5,5
5,8
5,9
5,10
5,14
5,21
5,22
5,23
5,25
6,1
6,2
6,3
6,4
6,5
6,13
6,25
7,1
7,2
7,3
7,4
7,5
7,10
7,25
8,1
8,2
8,3
8,4
8,5
8,11
9,1
9,2
9,3
10,1
10,2
10,3
11,1
11,2
11,3
11,4
11,5
11,10
11,28
12,1
12,2
12,3
12,4
12,5
12,10
12,22
12,25
12,28
13,1
13,2
13,3
13,4
13,5
13,10
14,4
14,5
14,20
14,21
15,4
15,5
15,21
16,26
16,29
17,20
17,26
17,29
18,1
18,2
18,3
18,14
18,27
19,1
19,2
19,3
19,4
19,5
19,8
19,9
19,10
19,14
19,17
19,19
19,21
19,22
19,23
19,25
19,28